City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kaitangata,NZ,2022-06-09 17:41:02,-46.2817,169.8464,40.68,87,100,7.36
68,Sinnamary,GF,2022-06-09 17:45:42,5.3833,-52.95,82.26,76,98,5.93
69,Ilulissat,GL,2022-06-09 17:45:42,69.2167,-51.1,46.42,53,75,4.61
70,Nador,MA,2022-06-09 17:45:43,35.174,-2.9287,84.27,83,20,5.75
71,Mar Del Plata,AR,2022-06-09 17:45:43,-38.0023,-57.5575,59.09,76,75,13.8
72,Luderitz,NA,2022-06-09 17:45:44,-26.6481,15.1594,66.96,42,1,6.53
73,Roros,NO,2022-06-09 17:43:59,62.5747,11.3842,60.64,55,100,5.75
74,Tuktoyaktuk,CA,2022-06-09 17:45:44,69.4541,-133.0374,28.4,86,75,6.91
75,Hermanus,ZA,2022-06-09 17:45:44,-34.4187,19.2345,50.81,74,12,5.37
76,Port Hedland,AU,2022-06-09 17:45:45,-20.3167,118.5667,71.65,56,40,9.22
77,Los Zacatones,MX,2022-06-09 17:45:45,22.95,-102.05,78.84,31,19,14.29
78,Pringsewu,ID,2022-06-09 17:45:46,-5.3582,104.9744,72.19,96,99,0.85
79,Tocopilla,CL,2022-06-09 17:45:46,-22.092,-70.1979,66.4,69,13,9.71
80,Taltal,CL,2022-06-09 17:45:46,-25.4,-70.4833,64.29,70,3,6.15
81,Nome,US,2022-06-09 17:41:05,64.5011,-165.4064,63.16,32,0,9.22
82,Saint-Marc,HT,2022-06-09 17:45:47,19.1082,-72.6938,84.09,60,100,6.33
83,Saskylakh,RU,2022-06-09 17:45:47,71.9167,114.0833,46.51,80,78,6.93
84,Arraial Do Cabo,BR,2022-06-09 17:45:48,-22.9661,-42.0278,76.96,73,75,9.22
85,Homer,US,2022-06-09 17:45:48,59.6425,-151.5483,61.03,68,20,3.0
86,Hobart,AU,2022-06-09 17:45:48,-42.8794,147.3294,49.86,65,75,13.8
87,Avarua,CK,2022-06-09 17:45:49,-21.2078,-159.775,73.45,68,68,5.75
88,Hasaki,JP,2022-06-09 17:45:49,35.7333,140.8333,63.0,81,39,6.22
89,Pingliang,CN,2022-06-09 17:45:50,35.5392,106.6861,62.71,66,92,3.98
90,Port Hardy,CA,2022-06-09 17:45:50,50.6996,-127.4199,55.58,71,100,18.41
91,Nikolayevsk-Na-Amure,RU,2022-06-09 17:45:50,53.1406,140.73,43.25,98,99,2.98
92,Trairi,BR,2022-06-09 17:41:25,-3.2778,-39.2689,78.26,89,99,7.76
93,Xique-Xique,BR,2022-06-09 17:45:51,-10.8218,-42.7263,87.87,38,43,2.8
94,Bairiki,KI,2022-06-09 17:45:51,1.3292,172.9752,81.95,73,100,14.18
95,Perigueux,FR,2022-06-09 17:46:52,45.1833,0.7167,72.81,59,82,6.13
96,Coihaique,CL,2022-06-09 17:46:52,-45.5752,-72.0662,40.95,48,20,4.61
97,Prieta,HN,2022-06-09 17:46:53,15.5833,-86.1833,89.02,42,100,3.42
98,Saint Anthony,US,2022-06-09 17:46:08,45.0205,-93.218,78.03,30,0,9.22
99,Itoman,JP,2022-06-09 17:46:53,26.1247,127.6694,75.22,94,75,2.3
100,Cherskiy,RU,2022-06-09 17:46:53,68.75,161.3,57.6,51,20,3.38
101,Sola,VU,2022-06-09 17:46:54,-13.8833,167.55,80.74,75,100,9.26
102,Ixtapa,MX,2022-06-09 17:46:54,20.7,-105.2,78.03,89,100,6.91
103,New Norfolk,AU,2022-06-09 17:46:54,-42.7826,147.0587,49.5,77,93,5.01
104,Tiksi,RU,2022-06-09 17:46:55,71.6872,128.8694,39.9,77,0,6.55
105,Contamana,PE,2022-06-09 17:46:55,-7.3333,-75.0167,85.28,69,70,4.21
106,Mount Isa,AU,2022-06-09 17:46:55,-20.7333,139.5,49.77,53,1,8.05
107,Nanakuli,US,2022-06-09 17:46:56,21.3906,-158.1547,79.61,78,0,0.0
108,Nikolskoye,RU,2022-06-09 17:46:56,59.7035,30.7861,64.29,75,72,5.91
109,Faanui,PF,2022-06-09 17:46:56,-16.4833,-151.75,80.11,71,7,7.94
110,Oneonta,US,2022-06-09 17:46:57,42.4529,-75.0638,69.3,92,89,14.54
111,Manthani,IN,2022-06-09 17:46:57,18.65,79.6667,94.8,34,65,3.22
112,Narsaq,GL,2022-06-09 17:46:57,60.9167,-46.05,61.02,62,2,7.96
113,Pevek,RU,2022-06-09 17:46:58,69.7008,170.3133,39.38,76,24,3.13
114,Atuona,PF,2022-06-09 17:46:58,-9.8,-139.0333,76.66,74,29,14.47
115,Havre-Saint-Pierre,CA,2022-06-09 17:42:11,50.2334,-63.5986,53.96,87,100,14.97
116,Victoria,HK,2022-06-09 17:45:46,22.2855,114.1577,80.65,90,100,5.99
117,Portland,US,2022-06-09 17:44:16,45.5234,-122.6762,66.16,65,100,5.99
118,Mareeba,AU,2022-06-09 17:46:59,-17.0,145.4333,65.12,89,15,2.19
119,Tumen,CN,2022-06-09 17:46:59,42.9661,129.8425,47.71,97,15,1.16
120,Governador Valadares,BR,2022-06-09 17:46:59,-18.8511,-41.9494,85.19,34,31,3.44
121,Camocim,BR,2022-06-09 17:42:11,-2.9022,-40.8411,78.85,85,100,9.82
122,San Patricio,US,2022-06-09 17:47:00,28.017,-97.5169,95.72,41,8,12.82
123,Saeby,DK,2022-06-09 17:47:00,57.3319,10.5225,62.53,82,93,8.41
124,Kodiak,US,2022-06-09 17:47:01,57.79,-152.4072,56.71,67,100,9.22
125,Alofi,NU,2022-06-09 17:47:01,-19.0595,-169.9187,64.29,94,17,4.61
126,Bestobe,KZ,2022-06-09 17:47:01,52.4994,73.0975,66.99,56,60,8.01
127,Georgetown,MY,2022-06-09 17:47:02,5.4112,100.3354,82.35,83,40,8.05
128,Bereda,ES,2022-06-09 17:47:02,43.2686,-7.5406,78.58,61,10,6.29
129,Yulara,AU,2022-06-09 17:47:03,-25.2406,130.9889,46.15,60,74,8.43
130,Manokwari,ID,2022-06-09 17:47:03,-0.8667,134.0833,78.39,77,68,4.61
131,East London,ZA,2022-06-09 17:46:29,-33.0153,27.9116,59.94,82,20,8.05
132,Kloulklubed,PW,2022-06-09 17:47:04,7.0419,134.2556,73.9,69,97,9.04
133,Khatanga,RU,2022-06-09 17:47:05,71.9667,102.5,45.0,72,96,17.13
134,Beringovskiy,RU,2022-06-09 17:47:05,63.05,179.3167,38.46,67,4,8.5
135,Nuuk,GL,2022-06-09 17:47:06,64.1835,-51.7216,47.01,53,20,15.01
136,Maloy,NO,2022-06-09 17:47:06,61.9353,5.1136,55.13,85,48,5.3
137,Riohacha,CO,2022-06-09 17:47:07,11.5444,-72.9072,93.31,46,20,19.57
138,Saint-Philippe,RE,2022-06-09 17:47:07,-21.3585,55.7679,71.19,82,73,16.35
139,Airai,TL,2022-06-09 17:47:08,-8.9266,125.4092,58.93,97,100,3.31
140,Chuy,UY,2022-06-09 17:47:08,-33.6971,-53.4616,64.65,65,94,3.8
141,Khasan,RU,2022-06-09 17:48:08,42.4308,130.6434,51.76,95,75,2.57
142,Torbay,CA,2022-06-09 17:45:20,47.6666,-52.7314,57.88,75,75,10.36
143,Kalmunai,LK,2022-06-09 17:48:09,7.4167,81.8167,79.3,83,100,9.82
144,Bahia Blanca,AR,2022-06-09 17:44:31,-38.7196,-62.2724,55.15,29,0,17.22
145,Cidreira,BR,2022-06-09 17:48:11,-30.1811,-50.2056,65.71,81,48,13.42
146,Ponta Do Sol,PT,2022-06-09 17:48:11,32.6667,-17.1,78.71,80,46,1.77
147,Rawson,AR,2022-06-09 17:48:12,-43.3002,-65.1023,47.44,25,8,22.37
148,Kenora,CA,2022-06-09 17:48:13,49.8167,-94.4337,67.17,39,75,6.91
149,Paamiut,GL,2022-06-09 17:48:13,61.994,-49.6678,38.17,80,61,9.31
150,Littleton,US,2022-06-09 17:45:59,39.6133,-105.0166,85.89,37,75,3.44
151,Hofn,IS,2022-06-09 17:48:14,64.2539,-15.2082,51.82,58,40,17.27
152,Sovetskiy,RU,2022-06-09 17:48:14,61.3614,63.5842,53.15,97,100,5.91
153,Bella Union,UY,2022-06-09 17:48:15,-30.2752,-57.6007,67.5,69,97,4.94
154,General Roca,AR,2022-06-09 17:48:16,-39.0333,-67.5833,54.63,23,0,12.73
155,Ahipara,NZ,2022-06-09 17:48:17,-35.1667,173.1667,58.51,81,12,16.17
156,Vila Velha,BR,2022-06-09 17:46:42,-20.3297,-40.2925,78.75,78,0,10.36
157,Matagami,CA,2022-06-09 17:48:18,49.7502,-77.6328,60.91,77,100,3.44
158,Chara,RU,2022-06-09 17:48:18,56.9064,118.2631,54.75,82,93,0.51
159,Ouadda,CF,2022-06-09 17:48:19,8.0777,22.4007,70.3,85,100,1.95
160,Itape,PY,2022-06-09 17:48:19,-25.85,-56.6167,70.03,79,73,3.0
161,Ancud,CL,2022-06-09 17:48:20,-41.8697,-73.8203,46.22,63,16,4.34
162,Buzmeyin,TM,2022-06-09 17:48:20,38.0507,58.2056,87.53,40,40,6.91
163,Poli,TZ,2022-06-09 17:48:21,-3.3333,36.8,64.67,59,83,5.19
164,Lavrentiya,RU,2022-06-09 17:48:26,65.5833,-171.0,40.95,65,2,8.68
165,Tabuk,PH,2022-06-09 17:48:26,17.4189,121.4443,76.3,94,100,1.81
166,Esperance,AU,2022-06-09 17:48:27,-33.8667,121.9,58.87,58,99,15.99
167,Qaanaaq,GL,2022-06-09 17:48:28,77.484,-69.3632,33.71,89,100,4.21
168,Vung Tau,VN,2022-06-09 17:48:29,10.346,107.0843,83.48,75,100,8.5
169,Saint George,US,2022-06-09 17:45:15,37.1041,-113.5841,98.64,15,0,8.05
170,Geraldton,AU,2022-06-09 17:47:31,-28.7667,114.6,66.61,82,75,14.97
171,Broome,US,2022-06-09 17:48:29,42.2506,-75.833,67.01,86,75,13.8
172,San Cristobal,VE,2022-06-09 17:48:30,7.7669,-72.225,77.18,50,64,7.2
173,Ibipeba,BR,2022-06-09 17:48:32,-11.6408,-42.0111,88.16,24,72,2.17
174,Souillac,MU,2022-06-09 17:48:33,-20.5167,57.5167,70.18,88,75,16.11
175,Tilichiki,RU,2022-06-09 17:48:33,60.4667,166.1,43.41,78,77,1.14
176,Leningradskiy,RU,2022-06-09 17:48:34,69.3833,178.4167,37.92,64,43,10.78
177,Sahuaripa,MX,2022-06-09 17:48:34,29.05,-109.2333,99.32,21,1,4.23
178,Necochea,AR,2022-06-09 17:48:35,-38.5473,-58.7368,54.39,56,84,19.64
179,Kununurra,AU,2022-06-09 17:48:35,-15.7667,128.7333,69.78,30,81,5.75
180,Lobito,AO,2022-06-09 17:48:36,-12.3481,13.5456,73.65,70,6,3.69
181,Kohtla-Jarve,EE,2022-06-09 17:48:36,59.3986,27.2731,56.08,82,76,8.48
182,Kavaratti,IN,2022-06-09 17:48:37,10.5669,72.642,82.29,78,16,10.87
183,Inta,RU,2022-06-09 17:48:37,66.0317,60.1659,63.46,53,15,10.58
184,Kapoeta,SS,2022-06-09 17:48:38,4.7717,33.5903,80.28,50,99,4.68
185,Mogocha,RU,2022-06-09 17:49:38,53.7333,119.7667,51.8,96,98,2.8
186,Mawlaik,MM,2022-06-09 17:49:38,23.6333,94.4167,77.31,96,100,1.16
187,Miyako,JP,2022-06-09 17:49:39,39.6367,141.9525,52.68,93,8,5.08
188,Lebu,CL,2022-06-09 17:48:49,-37.6167,-73.65,52.48,67,66,11.43
189,Namibe,AO,2022-06-09 17:49:40,-15.1961,12.1522,73.42,61,1,5.46
190,Klaksvik,FO,2022-06-09 17:49:40,62.2266,-6.589,50.92,90,100,26.11
191,Binzhou,CN,2022-06-09 17:49:40,37.3667,118.0167,74.5,62,84,4.61
192,Adrar,MR,2022-06-09 17:49:41,20.5022,-10.0711,107.91,5,6,4.36
193,Derzhavinsk,KZ,2022-06-09 17:49:41,51.1,66.3167,66.13,33,18,10.98
194,Sucua,EC,2022-06-09 17:49:42,-2.4667,-78.1667,77.74,69,40,5.75
195,Nanortalik,GL,2022-06-09 17:49:42,60.1432,-45.2371,40.23,82,26,5.97
196,Husavik,IS,2022-06-09 17:49:43,66.0449,-17.3389,50.56,75,36,4.68
197,Kutum,SD,2022-06-09 17:49:43,14.2,24.6667,85.35,30,93,13.24
198,Champerico,GT,2022-06-09 17:49:43,14.3,-91.9167,86.54,73,97,10.29
199,Luba,GQ,2022-06-09 17:49:44,3.4568,8.5547,79.09,85,83,9.33
200,Ternate,ID,2022-06-09 17:49:45,0.8,127.4,80.06,79,98,2.77
201,Kruisfontein,ZA,2022-06-09 17:49:45,-34.0033,24.7314,56.88,82,14,4.36
202,Nyurba,RU,2022-06-09 17:49:45,63.2842,118.3319,53.02,94,92,10.2
203,Adjumani,UG,2022-06-09 17:49:46,3.3779,31.7909,67.87,91,97,3.4
204,Honavar,IN,2022-06-09 17:49:46,14.2833,74.45,79.43,86,76,5.77
205,Deputatskiy,RU,2022-06-09 17:49:46,69.3,139.9,38.05,79,16,2.08
206,Guerrero Negro,MX,2022-06-09 17:49:47,27.9769,-114.0611,77.56,49,32,6.93
207,Winthrop,US,2022-06-09 17:49:48,42.3751,-70.9828,80.71,69,40,13.8
208,Qaqortoq,GL,2022-06-09 17:49:48,60.7167,-46.0333,44.22,73,7,5.86
209,Hervey Bay,AU,2022-06-09 17:49:49,-25.2986,152.8535,46.02,73,13,8.99
210,Varhaug,NO,2022-06-09 17:49:49,58.6147,5.6457,54.95,84,100,1.3
211,Chase,CA,2022-06-09 17:49:49,50.8165,-119.6857,66.07,46,100,3.89
212,Mackenzie,CA,2022-06-09 17:49:50,55.2999,-123.1698,57.42,67,0,11.5
213,Chapais,CA,2022-06-09 17:49:50,49.7834,-74.8492,64.18,61,100,2.91
214,Serenje,ZM,2022-06-09 17:49:51,-13.2325,30.2352,50.97,94,15,7.87
215,Pangnirtung,CA,2022-06-09 17:49:51,66.1451,-65.7125,41.0,81,40,19.57
216,Barcelona,ES,2022-06-09 17:49:51,41.3888,2.159,77.83,75,40,11.5
217,Lagoa,PT,2022-06-09 17:49:52,39.05,-27.9833,63.03,87,49,7.45
218,Slave Lake,CA,2022-06-09 17:45:20,55.2834,-114.769,58.98,72,0,8.05
219,Upernavik,GL,2022-06-09 17:49:53,72.7868,-56.1549,32.43,99,100,6.93
220,Zhigansk,RU,2022-06-09 17:49:53,66.7697,123.3711,57.58,72,39,8.05
221,Nizwa,OM,2022-06-09 17:49:54,22.9333,57.5333,96.51,20,18,7.38
222,Tucurui,BR,2022-06-09 17:49:54,-3.7661,-49.6725,85.51,66,93,5.97
223,Amahai,ID,2022-06-09 17:49:55,-3.3333,128.9167,77.88,86,80,1.54
224,Ust-Tarka,RU,2022-06-09 17:49:55,55.5672,75.705,60.22,71,79,11.21
225,Selma,US,2022-06-09 17:49:55,36.5708,-119.6121,88.18,45,97,6.73
226,Kaeo,NZ,2022-06-09 17:49:56,-35.1,173.7833,57.38,81,6,13.76
227,Lazaro Cardenas,MX,2022-06-09 17:49:56,17.9583,-102.2,87.3,52,100,3.56
228,Naivasha,KE,2022-06-09 17:49:57,-0.7167,36.4359,61.11,92,92,3.91
229,Tuatapere,NZ,2022-06-09 17:49:57,-46.1333,167.6833,38.41,91,61,6.29
230,Ribeira Grande,PT,2022-06-09 17:49:58,38.5167,-28.7,68.4,88,40,4.61
231,Manta,EC,2022-06-09 17:50:58,-0.95,-80.7333,80.38,74,20,6.91
232,Luanda,AO,2022-06-09 17:50:05,-8.8368,13.2343,73.04,86,11,13.11
233,Bathsheba,BB,2022-06-09 17:50:59,13.2167,-59.5167,88.41,66,20,21.85
234,Kindu,CD,2022-06-09 17:50:59,-2.95,25.95,73.62,62,51,1.45
235,Mutoko,ZW,2022-06-09 17:51:00,-17.397,32.2268,58.14,63,83,5.12
236,Mitsamiouli,KM,2022-06-09 17:51:00,-11.3847,43.2844,78.6,73,70,5.5
237,Ciudad Bolivar,VE,2022-06-09 17:51:01,8.1222,-63.5497,90.34,46,95,10.71
238,Talara,PE,2022-06-09 17:46:53,-4.5772,-81.2719,77.76,61,0,14.97
239,Mersing,MY,2022-06-09 17:51:01,2.4312,103.8405,76.91,94,40,4.61
240,Senanga,ZM,2022-06-09 17:51:02,-16.1167,23.2667,59.88,60,20,6.08
241,Fortuna,US,2022-06-09 17:51:02,40.5982,-124.1573,68.94,62,0,12.66
242,Lata,PT,2022-06-09 17:51:04,40.1629,-8.3327,77.49,50,12,8.46
243,Coquimbo,CL,2022-06-09 17:48:48,-29.9533,-71.3436,58.73,77,40,5.75
244,Gat,IL,2022-06-09 17:51:05,31.61,34.7642,86.4,43,0,8.63
245,Kavieng,PG,2022-06-09 17:51:05,-2.5744,150.7967,79.93,71,5,5.32
246,Dogondoutchi,NE,2022-06-09 17:51:06,13.6393,4.0287,104.49,11,5,1.77
247,Tual,ID,2022-06-09 17:51:06,-5.6667,132.75,82.2,78,62,14.05
248,Jiayuguan,CN,2022-06-09 17:51:07,39.8167,98.3,69.26,10,0,7.05
249,Bakchar,RU,2022-06-09 17:51:07,57.0186,82.0711,54.27,70,100,7.96
250,Longyearbyen,SJ,2022-06-09 17:51:10,78.2186,15.6401,35.69,100,100,3.87
251,Bagdarin,RU,2022-06-09 17:51:11,54.4333,113.6,51.33,76,90,3.85
252,Zabaykalsk,RU,2022-06-09 17:51:11,49.6333,117.3167,57.36,76,85,7.92
253,Portmore,JM,2022-06-09 17:51:12,17.9702,-76.8672,88.05,74,40,19.57
254,Carnarvon,AU,2022-06-09 17:51:12,-24.8667,113.6333,68.97,83,50,14.16
255,Moctezuma,MX,2022-06-09 17:51:12,29.8,-109.6667,97.16,21,0,6.17
256,Businga,CD,2022-06-09 17:51:13,3.3333,20.8833,71.64,90,100,2.39
257,Talnakh,RU,2022-06-09 17:51:14,69.4865,88.3972,45.21,67,17,5.44
258,Balaipungut,ID,2022-06-09 17:51:15,1.05,101.2833,73.98,97,100,2.64
259,Jalu,LY,2022-06-09 17:51:16,29.0331,21.5482,93.94,17,0,7.76
260,Vila Franca Do Campo,PT,2022-06-09 17:51:16,37.7167,-25.4333,70.21,74,100,4.97
261,Yar-Sale,RU,2022-06-09 17:51:16,66.8333,70.8333,61.88,44,35,7.27
262,Acapulco,MX,2022-06-09 17:50:04,16.8634,-99.8901,84.0,66,93,7.34
263,Lashio,MM,2022-06-09 17:51:17,22.9333,97.75,68.14,98,100,0.89
264,Tias,ES,2022-06-09 17:51:17,28.9611,-13.645,73.08,69,20,32.21
265,Hobyo,SO,2022-06-09 17:51:18,5.3505,48.5268,79.45,80,100,25.72
266,Neuquen,AR,2022-06-09 17:51:18,-38.9516,-68.0591,53.49,32,0,12.66
267,Bambous Virieux,MU,2022-06-09 17:51:19,-20.3428,57.7575,70.05,88,75,16.11
268,Ouango,CF,2022-06-09 17:51:19,4.3133,22.5552,68.92,97,97,1.32
269,Moron,AR,2022-06-09 17:51:20,-34.6534,-58.6198,60.03,73,78,6.44
270,Lakes Entrance,AU,2022-06-09 17:51:20,-37.8811,147.981,49.15,69,60,21.18
271,Belmonte,BR,2022-06-09 17:51:20,-15.8631,-38.8828,78.84,59,1,7.34
272,Abha,SA,2022-06-09 17:51:21,18.2164,42.5053,80.42,68,20,4.61
273,Manzhouli,CN,2022-06-09 17:51:22,49.6,117.4333,57.65,76,80,7.2
274,Dali,CN,2022-06-09 17:51:22,25.7,100.1833,62.78,93,84,4.16
275,Sambava,MG,2022-06-09 17:51:23,-14.2667,50.1667,73.22,74,100,14.52
276,Srivardhan,IN,2022-06-09 17:52:23,18.0333,73.0167,82.99,80,94,4.52
277,Doiwala,IN,2022-06-09 17:52:25,30.1833,78.1167,89.44,21,77,5.35
278,Atar,MR,2022-06-09 17:52:25,20.5169,-13.0499,109.22,6,4,12.35
279,Lufilufi,WS,2022-06-09 17:52:25,-13.8745,-171.5986,73.18,77,27,15.32
