City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hasaki,JP,35.7333,140.8333,63.28,75,100,12.44,overcast clouds
80,Bulgan,MN,48.8125,103.5347,65.32,44,64,2.04,broken clouds
81,Nyurba,RU,63.2842,118.3319,50.58,90,92,2.37,light rain
82,Balaipungut,ID,1.05,101.2833,75.38,96,100,2.73,overcast clouds
83,Itaquyry,PY,-24.9333,-55.2167,59.56,48,0,3.69,clear sky
84,Port Said,EG,31.2565,32.2841,80.58,69,0,9.22,clear sky
85,Upington,ZA,-28.4478,21.2561,80.98,19,20,18.41,few clouds
86,Gardner,US,42.5751,-71.9981,76.62,66,20,10.36,few clouds
87,Mahibadhoo,MV,3.7833,72.9667,83.57,74,100,6.33,overcast clouds
88,Talara,PE,-4.5772,-81.2719,65.16,82,100,18.41,overcast clouds
89,Mount Gambier,AU,-37.8333,140.7667,43.75,85,89,6.6,overcast clouds
90,Bethel,US,41.3712,-73.414,79.47,72,0,4.61,clear sky
91,Tymovskoye,RU,50.8456,142.655,48.52,98,49,6.8,scattered clouds
92,Piacabucu,BR,-10.4056,-36.4344,82.35,69,14,3.71,few clouds
93,Campoverde,PE,-8.4753,-74.8058,73.09,57,18,4.03,few clouds
94,Chokurdakh,RU,70.6333,147.9167,58.14,35,0,9.64,clear sky
95,Lebu,CL,-37.6167,-73.65,51.8,77,100,7.67,light rain
96,Liverpool,GB,53.4106,-2.9779,64.29,61,75,10.36,broken clouds
97,Le Mars,US,42.7942,-96.1656,83.57,88,100,11.5,mist
98,Quelimane,MZ,-17.8786,36.8883,76.95,69,75,5.75,broken clouds
99,Berlevag,NO,70.8578,29.0864,48.0,86,100,17.85,overcast clouds
100,Nouadhibou,MR,20.931,-17.0347,75.18,64,0,23.02,sand
101,Jacareacanga,BR,-6.2222,-57.7528,79.7,72,97,2.48,overcast clouds
102,Vao,NC,-22.6667,167.4833,71.53,70,100,12.21,moderate rain
103,Mawlaik,MM,23.6333,94.4167,81.18,79,73,1.52,broken clouds
104,Ossora,RU,59.2353,163.0719,45.09,84,99,5.75,overcast clouds
105,Stornoway,GB,58.2093,-6.3865,55.04,84,75,12.66,broken clouds
106,Portland,US,45.5234,-122.6762,54.0,85,75,4.61,broken clouds
107,Chara,RU,56.9064,118.2631,56.48,49,100,2.82,overcast clouds
108,Vanimo,PG,-2.6741,141.3028,77.94,87,20,6.49,few clouds
109,Antofagasta,CL,-23.65,-70.4,66.22,56,37,7.83,scattered clouds
110,Placido De Castro,BR,-10.3353,-67.1856,74.79,40,76,4.83,broken clouds
111,Carutapera,BR,-1.195,-46.02,83.88,70,18,7.78,few clouds
112,Ancud,CL,-41.8697,-73.8203,51.22,93,100,11.03,light rain
113,Lyubech,UA,51.7026,30.6569,78.06,51,16,7.05,few clouds
114,Lavrentiya,RU,65.5833,-171.0,36.59,68,90,8.43,overcast clouds
115,Tutoia,BR,-2.7619,-42.2744,84.94,63,21,8.19,few clouds
116,Hithadhoo,MV,-0.6,73.0833,83.86,71,60,5.32,broken clouds
117,Bintulu,MY,3.1667,113.0333,75.61,94,20,3.44,few clouds
118,Concepcion,CL,-36.827,-73.0498,46.2,87,100,4.61,overcast clouds
119,Hendek,TR,40.7994,30.7481,74.73,68,39,5.37,scattered clouds
120,Dikson,RU,73.5069,80.5464,30.38,87,100,13.78,overcast clouds
121,Rehoboth,NA,-23.3167,17.0833,70.27,27,0,22.91,clear sky
122,Hervey Bay,AU,-25.2986,152.8535,64.04,77,51,8.81,broken clouds
123,Cabo San Lucas,MX,22.8909,-109.9124,85.6,69,19,1.01,few clouds
124,Grindavik,IS,63.8424,-22.4338,53.55,100,75,20.71,light rain
125,Linxia,CN,35.6003,103.2064,56.91,32,0,6.53,clear sky
126,Baculin,PH,7.4525,126.5842,78.64,85,94,6.44,overcast clouds
127,Katsuura,JP,35.1333,140.3,65.12,72,100,12.5,overcast clouds
128,Lata,PT,40.1629,-8.3327,79.81,23,49,10.16,scattered clouds
129,Qaanaaq,GL,77.484,-69.3632,30.15,60,0,1.86,clear sky
130,Iqaluit,CA,63.7506,-68.5145,38.93,86,40,5.75,scattered clouds
131,Nikolskoye,RU,59.7035,30.7861,66.78,60,85,4.61,overcast clouds
132,East London,ZA,-33.0153,27.9116,83.34,24,0,10.36,clear sky
133,Juneau,US,58.3019,-134.4197,50.22,97,100,4.61,light rain
134,Chiang Khong,TH,20.2613,100.4046,74.93,96,100,1.79,overcast clouds
135,Muros,ES,42.7762,-9.0603,89.1,54,15,4.45,few clouds
136,Ramshir,IR,30.8946,49.4092,111.06,8,0,11.99,clear sky
137,Birao,CF,10.2849,22.7882,93.31,37,95,9.64,overcast clouds
138,Ardalstangen,NO,61.2371,7.6983,50.72,96,100,5.3,overcast clouds
139,Asau,RO,46.4333,26.4,79.29,67,25,1.48,scattered clouds
140,Rocha,UY,-34.4833,-54.3333,59.88,63,6,6.85,clear sky
141,Kruisfontein,ZA,-34.0033,24.7314,65.88,42,100,3.78,overcast clouds
142,Lantawan,PH,10.6167,123.9833,80.29,78,96,2.75,overcast clouds
143,Emerald,AU,-23.5333,148.1667,46.35,73,0,10.22,clear sky
144,Klaksvik,FO,62.2266,-6.589,50.92,97,100,10.67,overcast clouds
145,Thompson,CA,55.7435,-97.8558,66.36,68,20,2.3,few clouds
146,Phan Thiet,VN,10.9333,108.1,79.88,87,76,4.27,broken clouds
147,Langsa,ID,4.4683,97.9683,76.21,94,23,1.79,few clouds
148,Kavieng,PG,-2.5744,150.7967,81.77,73,11,14.79,few clouds
149,Baykit,RU,61.67,96.37,60.12,78,83,3.2,broken clouds
150,Waingapu,ID,-9.6567,120.2641,75.33,79,100,8.66,overcast clouds
151,Manturovo,RU,58.3353,44.7619,69.51,48,42,3.78,scattered clouds
152,Camacari,BR,-12.6975,-38.3242,85.77,59,39,6.13,scattered clouds
153,Bilma,NE,18.6853,12.9164,109.36,7,4,10.42,clear sky
154,Kikwit,CD,-5.041,18.8162,92.48,30,100,1.21,overcast clouds
155,Mattru,SL,7.6244,-11.8332,80.78,85,99,5.53,moderate rain
156,New Norfolk,AU,-42.7826,147.0587,42.3,86,98,3.36,overcast clouds
157,Upernavik,GL,72.7868,-56.1549,31.32,80,100,5.61,overcast clouds
158,Kinsale,IE,51.7075,-8.5306,63.23,62,75,8.05,broken clouds
159,Hambantota,LK,6.1241,81.1185,82.74,83,40,4.61,scattered clouds
160,Kaitangata,NZ,-46.2817,169.8464,44.26,83,81,19.91,light rain
161,Luau,AO,-10.7073,22.2247,82.26,22,7,1.66,clear sky
162,Cayenne,GF,4.9333,-52.3333,86.09,33,75,3.44,broken clouds
163,Puerto Narino,CO,-3.7703,-70.3831,72.93,75,100,3.76,overcast clouds
164,Rovaniemi,FI,66.5,25.7167,63.81,55,99,11.5,moderate rain
165,Kalmunai,LK,7.4167,81.8167,82.89,76,88,2.35,overcast clouds
166,Rio Grande,BR,-32.035,-52.0986,60.91,80,100,5.66,overcast clouds
167,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,89.42,32,45,6.13,scattered clouds
168,Tasiilaq,GL,65.6145,-37.6368,37.56,98,100,8.25,moderate rain
169,Girau Do Ponciano,BR,-9.8842,-36.8289,81.18,67,22,3.33,few clouds
170,Esso,RU,55.9333,158.7,40.91,99,100,3.53,overcast clouds
171,Ugoofaaru,MV,5.6667,73.0,83.26,76,18,9.6,few clouds
172,Maceio,BR,-9.6658,-35.7353,85.44,61,40,5.75,scattered clouds
173,Luderitz,NA,-26.6481,15.1594,61.36,78,100,15.88,overcast clouds
174,Komsomolskiy,UZ,40.4272,71.7189,79.52,34,100,16.11,overcast clouds
175,Dickinson,US,29.4608,-95.0513,91.09,72,1,7.0,clear sky
176,Bambanglipuro,ID,-7.95,110.2833,76.95,87,100,3.42,moderate rain
177,Mount Darwin,ZW,-16.7725,31.5838,68.45,39,3,4.16,clear sky
178,High Level,CA,58.5169,-117.136,55.51,67,40,0.0,scattered clouds
179,Junagadh,IN,21.5167,70.4667,86.14,63,16,9.64,few clouds
180,Cidreira,BR,-30.1811,-50.2056,56.55,76,89,10.87,overcast clouds
181,Isiolo,KE,0.3546,37.5822,80.33,40,55,13.56,broken clouds
182,Powell,US,40.1578,-83.0752,84.9,81,20,1.01,few clouds
183,Morant Bay,JM,17.8815,-76.4093,87.42,76,81,15.28,broken clouds
184,Mosquera,CO,4.7059,-74.2302,57.29,77,75,0.0,broken clouds
185,Ribeira Grande,PT,38.5167,-28.7,68.4,73,20,20.71,few clouds
186,Ilhabela,BR,-23.7781,-45.3581,67.23,60,100,7.27,overcast clouds
187,Ape,LV,57.5393,26.6929,65.71,60,100,4.99,overcast clouds
188,Haines Junction,CA,60.7522,-137.5108,39.15,100,100,1.14,overcast clouds
189,Longyearbyen,SJ,78.2186,15.6401,40.84,70,75,8.05,broken clouds
190,Talnakh,RU,69.4865,88.3972,64.76,61,91,1.74,overcast clouds
191,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,11.5,scattered clouds
192,Ambilobe,MG,-13.2,49.05,76.28,70,63,0.92,broken clouds
193,Srednekolymsk,RU,67.45,153.6833,55.63,53,0,7.78,clear sky
194,Solnechnyy,RU,50.7214,136.6319,58.39,77,89,4.85,overcast clouds
195,Tiksi,RU,71.6872,128.8694,45.03,67,100,2.86,overcast clouds
196,Karratha,AU,-20.7377,116.8463,73.94,65,0,4.59,clear sky
197,Cabedelo,BR,-6.9811,-34.8339,84.87,74,26,9.84,scattered clouds
198,Saint-Francois,FR,46.4154,3.9054,81.68,34,0,4.61,clear sky
199,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,100,100,16.11,fog
200,Tshane,BW,-24.0196,21.8684,71.76,23,4,10.54,clear sky
201,Port Elizabeth,ZA,-33.918,25.5701,69.31,59,0,4.61,clear sky
202,Sitka,US,57.0531,-135.33,49.78,89,100,2.28,overcast clouds
203,Mar Del Plata,AR,-38.0023,-57.5575,59.09,62,78,6.91,broken clouds
204,Shache,CN,38.4167,77.2406,85.86,19,100,18.52,overcast clouds
205,Sarankhola,BD,22.3082,89.7897,83.95,85,41,11.21,scattered clouds
206,Homer,US,59.6425,-151.5483,53.04,71,78,5.99,broken clouds
207,Omsukchan,RU,62.5333,155.8,35.8,87,7,3.74,clear sky
208,Palkonda,IN,18.6,83.75,89.28,62,30,4.34,scattered clouds
209,Vardo,NO,70.3705,31.1107,49.98,66,40,10.36,scattered clouds
210,Mareeba,AU,-17.0,145.4333,61.52,96,41,2.68,scattered clouds
211,Carnarvon,AU,-24.8667,113.6333,68.22,56,0,14.23,clear sky
212,San Borja,BO,-14.8167,-66.85,71.92,50,0,4.23,clear sky
213,Shaowu,CN,27.3409,117.4831,69.64,99,100,1.83,moderate rain
214,Torbay,CA,47.6666,-52.7314,59.88,77,40,8.05,scattered clouds
215,Port Hardy,CA,50.6996,-127.4199,48.38,87,100,0.0,overcast clouds
216,Rawson,AR,-43.3002,-65.1023,58.06,26,100,8.88,overcast clouds
217,Mitsamiouli,KM,-11.3847,43.2844,78.42,71,7,6.38,clear sky
218,Pekalongan,ID,-6.8886,109.6753,76.01,81,100,2.71,overcast clouds
219,Hobyo,SO,5.3505,48.5268,80.38,72,90,28.61,overcast clouds
220,Pasighat,IN,28.0667,95.3333,74.93,94,94,3.06,overcast clouds
221,Priargunsk,RU,50.3691,119.1012,58.08,92,64,2.55,broken clouds
